HeatNumber,NumberOfKarts,KartNumber,DriverName,Laptime
334,11,5,Monique,00:53.862
334,11,5,Monique,00:59.070
334,11,5,Monique,00:47.832
334,11,5,Monique,00:47.213
334,11,5,Monique,00:51.975
334,11,5,Monique,00:46.423
334,11,5,Monique,00:49.539
334,11,5,Monique,00:49.935
334,11,5,Monique,00:45.267
334,11,12,Robert-Jan,00:55.606
334,11,12,Robert-Jan,00:52.249
334,11,12,Robert-Jan,00:50.965
334,11,12,Robert-Jan,00:53.878
334,11,12,Robert-Jan,00:48.802
334,11,12,Robert-Jan,00:48.766
334,11,12,Robert-Jan,00:46.003
334,11,12,Robert-Jan,00:46.257
334,11,12,Robert-Jan,00:47.334
334,11,20,Katja,00:56.222
334,11,20,Katja,01:01.005
334,11,20,Katja,00:50.296
334,11,20,Katja,00:48.004
334,11,20,Katja,00:51.203
334,11,20,Katja,00:47.672
334,11,20,Katja,00:50.243
334,11,20,Katja,00:50.453
334,11,20,Katja,01:06.192
334,11,13,Bensu,00:56.332
334,11,13,Bensu,00:54.550
334,11,13,Bensu,00:52.023
334,11,13,Bensu,00:52.518
334,11,13,Bensu,00:50.738
334,11,13,Bensu,00:50.359
334,11,13,Bensu,00:49.307
334,11,13,Bensu,00:49.595
334,11,13,Bensu,00:50.504
334,11,17,Marit,00:56.740
334,11,17,Marit,00:52.534
334,11,17,Marit,00:48.331
334,11,17,Marit,00:56.204
334,11,17,Marit,00:49.066
334,11,17,Marit,00:49.210
334,11,17,Marit,00:45.655
334,11,17,Marit,00:46.261
334,11,17,Marit,00:46.837
334,11,11,Niels,00:58.518
334,11,11,Niels,01:01.562
334,11,11,Niels,00:51.238
334,11,11,Niels,00:48.808
334,11,11,Niels,00:50.677
334,11,11,Niels,00:47.915
334,11,11,Niels,00:47.434
334,11,11,Niels,00:49.141
334,11,11,Niels,00:50.514
334,11,4,Lars,00:58.937
334,11,4,Lars,01:02.495
334,11,4,Lars,00:55.425
334,11,4,Lars,01:11.188
334,11,4,Lars,00:49.973
334,11,4,Lars,01:02.445
334,11,4,Lars,00:52.215
334,11,4,Lars,00:53.015
334,11,2,Jessie,01:04.189
334,11,2,Jessie,00:53.924
334,11,2,Jessie,00:52.072
334,11,2,Jessie,00:52.369
334,11,2,Jessie,00:50.004
334,11,2,Jessie,00:50.186
334,11,2,Jessie,00:49.242
334,11,2,Jessie,00:46.496
334,11,2,Jessie,00:51.232
334,11,1,Lisa,01:12.101
334,11,1,Lisa,01:03.348
334,11,1,Lisa,00:59.850
334,11,1,Lisa,00:55.723
334,11,1,Lisa,00:52.726
334,11,1,Lisa,00:53.297
334,11,1,Lisa,00:54.147
334,11,1,Lisa,00:55.685
334,11,16,Desiree,01:29.932
334,11,16,Desiree,01:18.502
334,11,16,Desiree,01:13.070
334,11,16,Desiree,01:17.735
334,11,16,Desiree,01:13.225
334,11,16,Desiree,01:10.304
334,11,16,Desiree,01:13.357
334,11,10,Ankie,01:50.288
335,12,19,Ferry,01:34.633
335,12,19,Ferry,01:17.093
335,12,19,Ferry,00:43.825
335,12,19,Ferry,00:51.894
335,12,19,Ferry,00:44.261
335,12,19,Ferry,00:48.493
335,12,19,Ferry,00:49.985
335,12,19,Ferry,00:43.942
335,12,19,Ferry,00:43.052
335,12,19,Ferry,00:44.149
335,12,18,Radbout,01:33.479
335,12,18,Radbout,00:46.045
335,12,18,Radbout,00:46.154
335,12,18,Radbout,00:43.403
335,12,18,Radbout,00:43.589
335,12,18,Radbout,00:42.704
335,12,18,Radbout,00:50.533
335,12,18,Radbout,00:52.103
335,12,18,Radbout,00:42.740
335,12,18,Radbout,00:43.984
335,12,18,Radbout,00:43.842
335,12,6,Martijn,01:25.019
335,12,6,Martijn,00:46.060
335,12,6,Martijn,00:46.456
335,12,6,Martijn,00:43.628
335,12,6,Martijn,00:43.045
335,12,6,Martijn,00:42.643
335,12,6,Martijn,00:50.562
335,12,6,Martijn,00:49.762
335,12,6,Martijn,00:42.193
335,12,6,Martijn,00:43.940
335,12,6,Martijn,00:41.832
335,12,10,Teddy,01:24.047
335,12,10,Teddy,00:48.828
335,12,10,Teddy,00:49.460
335,12,10,Teddy,00:44.209
335,12,10,Teddy,00:48.523
335,12,10,Teddy,01:06.212
335,12,10,Teddy,00:51.227
335,12,10,Teddy,00:44.331
335,12,10,Teddy,00:44.451
335,12,10,Teddy,00:45.778
335,12,5,Marc,01:16.797
335,12,5,Marc,00:46.552
335,12,5,Marc,00:44.510
335,12,5,Marc,00:41.950
335,12,5,Marc,00:41.921
335,12,5,Marc,00:41.862
335,12,5,Marc,00:52.396
335,12,5,Marc,00:45.606
335,12,5,Marc,00:41.743
335,12,5,Marc,00:41.888
335,12,5,Marc,00:41.761
335,12,4,Roel,01:28.695
335,12,4,Roel,00:48.137
335,12,4,Roel,00:48.176
335,12,4,Roel,00:45.897
335,12,4,Roel,00:45.175
335,12,4,Roel,00:52.413
335,12,4,Roel,00:49.846
335,12,4,Roel,00:44.280
335,12,4,Roel,00:44.720
335,12,4,Roel,00:44.425
335,12,4,Roel,00:45.179
335,12,11,Sander,01:20.065
335,12,11,Sander,00:47.032
335,12,11,Sander,00:47.534
335,12,11,Sander,00:44.700
335,12,11,Sander,00:45.969
335,12,11,Sander,00:45.127
335,12,11,Sander,00:48.498
335,12,11,Sander,00:45.703
335,12,11,Sander,00:44.335
335,12,11,Sander,00:43.994
335,12,11,Sander,00:43.935
335,12,1,Ivanka,01:15.202
335,12,1,Ivanka,01:05.315
335,12,1,Ivanka,00:46.096
335,12,1,Ivanka,00:46.499
335,12,1,Ivanka,00:45.886
335,12,1,Ivanka,00:50.644
335,12,1,Ivanka,00:51.562
335,12,1,Ivanka,00:46.558
335,12,1,Ivanka,00:45.934
335,12,1,Ivanka,00:50.652
335,12,2,Taylan,01:12.091
335,12,2,Taylan,00:47.975
335,12,2,Taylan,00:46.862
335,12,2,Taylan,00:44.017
335,12,2,Taylan,00:45.880
335,12,2,Taylan,00:43.756
335,12,2,Taylan,01:41.720
335,12,2,Taylan,00:46.156
335,12,2,Taylan,00:43.869
335,12,2,Taylan,00:45.657
335,12,13,Aarie,01:09.374
335,12,13,Aarie,00:48.469
335,12,13,Aarie,00:47.141
335,12,13,Aarie,00:46.511
335,12,13,Aarie,00:46.555
335,12,13,Aarie,00:48.439
335,12,13,Aarie,00:51.753
335,12,13,Aarie,00:45.824
335,12,13,Aarie,00:45.617
335,12,13,Aarie,00:44.683
335,12,13,Aarie,00:46.617
335,12,20,Kylian,01:08.980
335,12,20,Kylian,00:56.131
335,12,20,Kylian,00:50.191
335,12,20,Kylian,00:53.437
335,12,20,Kylian,00:50.018
335,12,20,Kylian,00:56.276
335,12,20,Kylian,00:52.606
335,12,20,Kylian,00:47.569
335,12,20,Kylian,00:48.156
335,12,20,Kylian,00:48.385
335,12,12,Ellen,01:06.591
335,12,12,Ellen,00:48.193
335,12,12,Ellen,00:45.570
335,12,12,Ellen,00:44.259
335,12,12,Ellen,00:45.106
335,12,12,Ellen,01:02.255
335,12,12,Ellen,00:49.778
335,12,12,Ellen,00:44.020
335,12,12,Ellen,00:43.626
335,12,12,Ellen,00:43.786
335,12,12,Ellen,00:43.999
336,11,6,Arjan,01:17.728
336,11,6,Arjan,00:43.162
336,11,6,Arjan,00:40.706
336,11,6,Arjan,00:39.795
336,11,6,Arjan,00:39.520
336,11,6,Arjan,00:39.550
336,11,6,Arjan,00:40.321
336,11,6,Arjan,00:41.806
336,11,6,Arjan,00:41.307
336,11,6,Arjan,00:41.559
336,11,6,Arjan,00:40.845
336,11,6,Arjan,00:39.851
336,11,6,Arjan,00:39.661
336,11,18,Bain,01:16.959
336,11,18,Bain,00:44.772
336,11,18,Bain,00:41.211
336,11,18,Bain,00:39.812
336,11,18,Bain,00:39.548
336,11,18,Bain,00:39.789
336,11,18,Bain,00:39.235
336,11,18,Bain,00:40.412
336,11,18,Bain,00:40.328
336,11,18,Bain,00:41.387
336,11,18,Bain,00:39.244
336,11,18,Bain,00:39.477
336,11,18,Bain,00:39.550
336,11,10,Mike,01:19.768
336,11,10,Mike,00:41.931
336,11,10,Mike,00:42.734
336,11,10,Mike,00:43.803
336,11,10,Mike,00:42.292
336,11,10,Mike,00:42.020
336,11,10,Mike,00:41.472
336,11,10,Mike,00:41.470
336,11,10,Mike,00:42.400
336,11,10,Mike,00:42.405
336,11,10,Mike,00:42.085
336,11,10,Mike,00:41.146
336,11,10,Mike,00:41.739
336,11,1,David,01:11.331
336,11,1,David,00:43.704
336,11,1,David,00:42.963
336,11,1,David,00:42.802
336,11,1,David,02:48.219
336,11,1,David,00:42.291
336,11,1,David,00:42.178
336,11,1,David,00:42.104
336,11,1,David,00:42.147
336,11,1,David,00:42.085
336,11,13,Michel,01:08.789
336,11,13,Michel,00:44.598
336,11,13,Michel,00:42.517
336,11,13,Michel,00:42.576
336,11,13,Michel,00:42.064
336,11,13,Michel,00:42.336
336,11,13,Michel,00:42.068
336,11,13,Michel,00:42.478
336,11,13,Michel,00:42.787
336,11,13,Michel,00:43.739
336,11,13,Michel,00:42.533
336,11,13,Michel,00:45.352
336,11,4,Jeroen,01:02.299
336,11,4,Jeroen,01:07.074
336,11,4,Jeroen,00:43.384
336,11,4,Jeroen,00:43.297
336,11,4,Jeroen,00:42.722
336,11,4,Jeroen,00:42.711
336,11,4,Jeroen,00:42.160
336,11,4,Jeroen,00:47.780
336,11,4,Jeroen,00:42.842
336,11,4,Jeroen,00:42.843
336,11,4,Jeroen,00:42.676
336,11,4,Jeroen,00:42.886
336,11,19,Lathouwers,00:58.243
336,11,19,Lathouwers,01:10.087
336,11,19,Lathouwers,00:42.718
336,11,19,Lathouwers,00:44.604
336,11,19,Lathouwers,00:41.337
336,11,19,Lathouwers,00:41.530
336,11,19,Lathouwers,00:41.964
336,11,19,Lathouwers,00:45.708
336,11,19,Lathouwers,00:42.320
336,11,19,Lathouwers,00:42.551
336,11,19,Lathouwers,00:42.565
336,11,19,Lathouwers,00:42.706
336,11,11,Eddy,00:55.086
336,11,11,Eddy,00:44.367
336,11,11,Eddy,00:49.269
336,11,11,Eddy,00:43.316
336,11,11,Eddy,00:41.774
336,11,11,Eddy,00:41.569
336,11,11,Eddy,00:41.955
336,11,11,Eddy,00:42.346
336,11,11,Eddy,00:42.434
336,11,11,Eddy,00:41.837
336,11,11,Eddy,00:42.247
336,11,11,Eddy,00:41.990
336,11,11,Eddy,00:41.791
336,11,20,Ewout,00:53.267
336,11,20,Ewout,00:44.673
336,11,20,Ewout,00:42.423
336,11,20,Ewout,00:46.742
336,11,20,Ewout,00:41.316
336,11,20,Ewout,00:41.716
336,11,20,Ewout,00:42.605
336,11,20,Ewout,00:40.960
336,11,20,Ewout,00:41.674
336,11,20,Ewout,00:42.351
336,11,20,Ewout,00:42.151
336,11,20,Ewout,00:42.626
336,11,20,Ewout,00:41.586
336,11,17,Mirjam,01:05.051
336,11,17,Mirjam,00:44.014
336,11,17,Mirjam,00:42.655
336,11,17,Mirjam,00:42.855
336,11,17,Mirjam,00:43.298
336,11,17,Mirjam,00:44.297
336,11,17,Mirjam,00:43.008
336,11,17,Mirjam,00:46.232
336,11,17,Mirjam,00:45.751
336,11,17,Mirjam,00:43.122
336,11,17,Mirjam,00:42.408
336,11,17,Mirjam,00:43.099
336,11,5,Edwin,00:49.260
336,11,5,Edwin,00:42.129
336,11,5,Edwin,00:43.951
336,11,5,Edwin,00:41.813
336,11,5,Edwin,00:41.667
336,11,5,Edwin,00:43.256
336,11,5,Edwin,00:41.824
336,11,5,Edwin,00:41.732
336,11,5,Edwin,00:41.395
336,11,5,Edwin,00:42.435
336,11,5,Edwin,00:42.371
336,11,5,Edwin,00:42.330
336,11,5,Edwin,00:41.743
337,10,18,Monique,01:15.690
337,10,18,Monique,00:51.419
337,10,18,Monique,00:50.786
337,10,18,Monique,00:45.985
337,10,18,Monique,00:46.438
337,10,18,Monique,00:45.389
337,10,18,Monique,00:45.538
337,10,18,Monique,00:46.176
337,10,18,Monique,00:54.303
337,10,18,Monique,00:55.423
337,10,18,Monique,00:45.979
337,10,6,Marit,01:19.955
337,10,6,Marit,00:47.174
337,10,6,Marit,00:52.337
337,10,6,Marit,01:06.521
337,10,6,Marit,00:45.461
337,10,6,Marit,00:44.323
337,10,6,Marit,00:45.018
337,10,6,Marit,00:46.203
337,10,6,Marit,01:03.297
337,10,6,Marit,00:43.880
337,10,6,Marit,00:53.703
337,10,4,Robert-Jan,01:13.066
337,10,4,Robert-Jan,01:03.119
337,10,4,Robert-Jan,00:46.139
337,10,4,Robert-Jan,00:45.107
337,10,4,Robert-Jan,00:45.263
337,10,4,Robert-Jan,00:46.694
337,10,4,Robert-Jan,00:46.104
337,10,4,Robert-Jan,00:44.446
337,10,4,Robert-Jan,00:51.464
337,10,4,Robert-Jan,00:46.699
337,10,4,Robert-Jan,00:47.576
337,10,10,Jessie,01:11.531
337,10,10,Jessie,00:48.420
337,10,10,Jessie,00:49.978
